country,year_,CountryID
Germany,2014,497
USA,2014,498
Germany,2014,499
Germany,2014,500
Spain,2014,501
Sweden,2014,502
Germany,2014,503
Germany,2014,504
Norway,2014,505
United Kingdom,2014,506
USA,2014,507
Italy,2014,508
Spain,2014,509
Austria,2014,510
South Africa,2014,511
USA,2014,512
Czech Republic,2014,513
South Korea,2014,514
Malaysia,2014,515
Belgium,2014,516
United Kingdom,2014,517
USA,2014,518
USA,2014,519
USA,2014,520
USA,2014,521
USA,2014,522
United Kingdom,2014,523
United Kingdom,2014,524
Italy,2014,525
Austria,2014,526
Germany,2014,527
India,2014,528
Brazil,2014,529
Belgium,2014,530
Greece,2014,531
USA,2014,532
Italy,2014,533
South Korea,2014,534
USA,2014,535
United Kingdom,2014,536
Mexico,2014,537
Germany,2014,538
Japan,2014,539
Australia,2014,540
Italy,2014,541
United Kingdom,2014,542
Germany,2014,543
Italy,2014,544
United Kingdom,2014,545
USA,2014,546
Spain,2014,547
USA,2014,548
China,2014,549
United Kingdom,2014,550
USA,2014,551
Denmark,2014,552
Netherlands,2014,553
China,2014,554
New Zealand,2014,555
Spain,2014,556
United Kingdom,2014,557
Germany,2014,558
Italy,2014,559
Germany,2014,560
USA,2014,561
Israel,2014,562
USA,2014,563
USA,2014,564
USA,2014,565
Canada,2014,566
Italy,2014,567
Italy,2014,568
USA,2014,569
China,2014,570
Hungary,2014,571
USA,2014,572
Finland,2014,573
South Korea,2014,574
Hong Kong,2014,575
Japan,2014,576
Canada,2014,577
Argentina,2014,578
USA,2014,579
South Korea,2014,580
Hong Kong,2014,581
Germany,2014,582
Italy,2014,583
Spain,2014,584
China,2014,585
Japan,2014,586
Italy,2014,587
Italy,2014,588
Italy,2014,589
USA,2014,590
Finland,2014,591
Finland,2014,592
Canada,2014,593
China,2014,594
Sweden,2014,595
Turkey,2014,596
United Kingdom,2014,597
Canada,2014,598
China,2014,599
South Korea,2014,600
USA,2014,601
France,2014,602
France,2014,603
USA,2014,604
France,2014,605
South Korea,2014,606
Japan,2014,607
China,2014,608
United Kingdom,2014,609
Spain,2014,610
Taiwan,2014,611
China,2014,612
Japan,2014,613
Italy,2014,614
USA,2014,615
Spain,2014,616
Japan,2014,617
Taiwan,2014,618
Poland,2014,619
Saudi Arabia,2014,620
United Kingdom,2014,621
Canada,2014,622
USA,2014,623
Japan,2014,624
Finland,2014,625
Spain,2014,626
Austria,2014,627
South Korea,2014,628
South Korea,2014,629
Finland,2014,630
Italy,2014,631
France,2014,632
Sweden,2014,633
USA,2014,634
China,2014,635
India,2014,636
Brazil,2014,637
China,2014,638
USA,2014,639
South Korea,2014,640
USA,2014,641
USA,2014,642
USA,2014,643
Japan,2014,644
Netherlands,2014,645
USA,2014,646
South Korea,2014,647
USA,2014,648
United Kingdom,2014,649
